player_id,name,first_name,last_name,position,team,jersey_number,height,weight,age,college,rookie_year,years_exp,fantasy_positions,injury_status,depth_chart_position,depth_chart_order,active
ARI,Arizona Cardinals,Arizona,Cardinals,DEF,ARI,,,0,0.0,,0,0.0,DEF,,,0.0,True
10955,Chad Ryland,Chad,Ryland,K,ARI,38,72,195,25.0,Maryland,0,2.0,K,,K,1.0,True
3257,Jacoby Brissett,Jacoby,Brissett,QB,ARI,7,76,235,32.0,North Carolina State,0,9.0,QB,,QB,2.0,True
11648,Kedon Slovis,Kedon,Slovis,QB,ARI,15,74,223,24.0,BYU,0,1.0,QB,,,,True
5849,Kyler Murray,Kyler,Murray,QB,ARI,1,70,207,28.0,Oklahoma,0,6.0,QB,,QB,1.0,True
8122,Bam Knight,Bam,Knight,RB,ARI,35,71,210,24.0,North Carolina State,0,3.0,RB,,RB,4.0,True
11199,Emari Demercado,Emari,Demercado,RB,ARI,31,69,215,26.0,TCU,0,2.0,RB,,RB,3.0,True
4137,James Conner,James,Conner,RB,ARI,6,73,233,30.0,Pittsburgh,0,8.0,RB,,RB,1.0,True
7607,Michael Carter,Michael,Carter,RB,ARI,22,68,201,26.0,North Carolina,0,4.0,RB,,,,True
7103,Tavien Feaster,Tavien,Feaster,RB,ARI,30,72,221,24.0,South Carolina,0,2.0,RB,,,,True
11589,Trey Benson,Trey,Benson,RB,ARI,33,72,220,23.0,Florida State,0,1.0,RB,,RB,2.0,True
10231,Elijah Higgins,Elijah,Higgins,TE,ARI,84,75,245,24.0,Stanford,0,2.0,TE,,TE,3.0,True
7050,Josiah Deguara,Josiah,Deguara,TE,ARI,47,74,240,28.0,Cincinnati,0,5.0,TE,,,,True
11716,Tip Reiman,Tip,Reiman,TE,ARI,87,77,271,23.0,Illinois,0,1.0,TE,,TE,2.0,True
11381,Travis Vokolek,Travis,Vokolek,TE,ARI,81,78,260,27.0,Nebraska,0,2.0,TE,,TE,4.0,True
8130,Trey McBride,Trey,McBride,TE,ARI,85,76,246,25.0,Colorado State,0,3.0,TE,,TE,1.0,True
7233,Andre Baccellia,Andre,Baccellia,WR,ARI,82,70,180,28.0,Washington,0,5.0,WR,,,,True
5970,Greg Dortch,Greg,Dortch,WR,ARI,4,67,180,27.0,Wake Forest,0,6.0,WR,,SWR,3.0,True
11628,Marvin Harrison,Marvin,Harrison,WR,ARI,18,75,220,23.0,Ohio State,0,1.0,WR,,LWR,1.0,True
10232,Michael Wilson,Michael,Wilson,WR,ARI,14,74,213,25.0,Stanford,0,2.0,WR,,RWR,2.0,True
7812,Simi Fehoko,Simi,Fehoko,WR,ARI,80,76,225,27.0,Stanford,0,4.0,WR,,,,True
11802,Tejhaun Palmer,Tejhaun,Palmer,WR,ARI,83,73,210,25.0,UAB,0,1.0,WR,,,,True
7009,Trishton Jackson,Trishton,Jackson,WR,ARI,86,73,200,27.0,Syracuse,0,5.0,WR,IR,,7.0,True
11921,Xavier Weaver,Xavier,Weaver,WR,ARI,89,73,185,24.0,Colorado,0,1.0,WR,,LWR,5.0,True
4080,Zay Jones,Zay,Jones,WR,ARI,17,74,200,30.0,East Carolina,0,8.0,WR,,SWR,4.0,True
ATL,Atlanta Falcons,Atlanta,Falcons,DEF,ATL,,,0,0.0,,0,0.0,DEF,,,0.0,True
12548,Lenny Krieg,Lenny,Krieg,K,ATL,46,74,214,23.0,,0,3.0,K,,,,True
4666,Younghoe Koo,Younghoe,Koo,K,ATL,6,70,195,31.0,Georgia Southern,0,8.0,K,,K,1.0,True
6185,Easton Stick,Easton,Stick,QB,ATL,12,73,224,29.0,North Dakota State,0,6.0,QB,,,,True
